id,latency,size,totalTime
0,267,30,25358
1,81,30,25358
2,30,30,25358
3,65,30,25358
4,58,30,25358
5,43,30,25358
6,60,30,25358
7,457,30,25358
8,46,30,25358
9,59,30,25358
10,83,30,25358
11,29,30,25358
12,270,30,25358
13,73,30,25358
14,60,30,25358
15,54,30,25358
16,33,30,25358
17,267,30,25358
18,52,30,25358
19,58,30,25358
20,51,30,25358
21,26,30,25358
22,53,30,25358
23,66,30,25358
24,40,30,25358
25,261,30,25358
26,74,30,25358
27,43,30,25358
28,54,30,25358
29,40,30,25358
30,52,30,25358
31,192,30,25358
32,27,30,25358
33,25,30,25358
34,29,30,25358
35,24,30,25358
36,21,30,25358
37,18,30,25358
38,15,30,25358
39,15,30,25358
40,232,30,25358
41,38,30,25358
42,27,30,25358
43,231,30,25358
44,55,30,25358
45,50,30,25358
46,49,30,25358
47,36,30,25358
48,39,30,25358
49,64,30,25358
50,48,30,25358
51,25,30,25358
52,24,30,25358
53,37,30,25358
54,421,30,25358
55,66,30,25358
56,53,30,25358
57,43,30,25358
58,57,30,25358
59,48,30,25358
60,460,30,25358
61,252,30,25358
62,61,30,25358
63,42,30,25358
64,284,30,25358
65,41,30,25358
66,24,30,25358
67,15,30,25358
68,25,30,25358
69,24,30,25358
70,29,30,25358
71,36,30,25358
72,254,30,25358
73,49,30,25358
74,284,30,25358
75,39,30,25358
76,76,30,25358
77,107,30,25358
78,70,30,25358
79,31,30,25358
80,93,30,25358
81,53,30,25358
82,50,30,25358
83,54,30,25358
84,27,30,25358
85,33,30,25358
86,47,30,25358
87,270,30,25358
88,47,30,25358
89,70,30,25358
90,45,30,25358
91,38,30,25358
92,76,30,25358
93,119,30,25358
94,236,30,25358
95,48,30,25358
96,35,30,25358
97,67,30,25358
98,55,30,25358
99,48,30,25358
100,66,30,25358
101,67,30,25358
102,47,30,25358
103,64,30,25358
104,56,30,25358
105,48,30,25358
106,60,30,25358
107,73,30,25358
108,35,30,25358
109,59,30,25358
110,55,30,25358
111,44,30,25358
112,66,30,25358
113,74,30,25358
114,66,30,25358
115,117,30,25358
116,58,30,25358
117,37,30,25358
118,52,30,25358
119,93,30,25358
120,154,30,25358
121,49,30,25358
122,42,30,25358
123,317,30,25358
124,41,30,25358
125,48,30,25358
126,73,30,25358
127,80,30,25358
128,65,30,25358
129,237,30,25358
130,119,30,25358
131,56,30,25358
132,253,30,25358
133,38,30,25358
134,67,30,25358
135,63,30,25358
136,284,30,25358
137,48,30,25358
138,259,30,25358
139,264,30,25358
140,330,30,25358
141,42,30,25358
142,49,30,25358
143,25,30,25358
144,17,30,25358
145,17,30,25358
146,15,30,25358
147,15,30,25358
148,15,30,25358
149,31,30,25358
150,29,30,25358
151,31,30,25358
152,56,30,25358
153,254,30,25358
154,58,30,25358
155,49,30,25358
156,36,30,25358
157,42,30,25358
158,27,30,25358
159,284,30,25358
160,40,30,25358
161,243,30,25358
162,64,30,25358
163,237,30,25358
164,268,30,25358
165,43,30,25358
166,32,30,25358
167,29,30,25358
168,27,30,25358
169,28,30,25358
170,36,30,25358
171,72,30,25358
172,56,30,25358
173,72,30,25358
174,55,30,25358
175,57,30,25358
176,32,30,25358
177,46,30,25358
178,50,30,25358
179,102,30,25358
180,73,30,25358
181,36,30,25358
182,45,30,25358
183,46,30,25358
184,731,30,25358
185,60,30,25358
186,90,30,25358
187,44,30,25358
188,48,30,25358
189,51,30,25358
190,39,30,25358
191,75,30,25358
192,62,30,25358
193,52,30,25358
194,252,30,25358
195,41,30,25358
196,48,30,25358
197,240,30,25358
198,499,30,25358
199,42,30,25358
200,29,30,25358
201,51,30,25358
202,36,30,25358
203,50,30,25358
204,35,30,25358
205,53,30,25358
206,42,30,25358
207,36,30,25358
208,50,30,25358
209,27,30,25358
210,283,30,25358
211,61,30,25358
212,30,30,25358
213,42,30,25358
214,47,30,25358
215,51,30,25358
216,35,30,25358
217,23,30,25358
218,28,30,25358
219,41,30,25358
220,32,30,25358
221,30,30,25358
222,26,30,25358
223,45,30,25358
224,34,30,25358
225,36,30,25358
226,32,30,25358
227,39,30,25358
228,26,30,25358
229,40,30,25358
230,42,30,25358
231,60,30,25358
232,48,30,25358
233,53,30,25358
234,107,30,25358
235,82,30,25358
236,53,30,25358
237,39,30,25358
238,29,30,25358
239,28,30,25358
240,17,30,25358
241,26,30,25358
242,68,30,25358
243,52,30,25358
244,49,30,25358
245,60,30,25358
246,25,30,25358
247,42,30,25358
248,39,30,25358
249,25,30,25358
250,25,30,25358
251,37,30,25358
252,94,30,25358
253,65,30,25358
254,47,30,25358
255,31,30,25358
256,60,30,25358
257,42,30,25358
258,46,30,25358
259,44,30,25358
260,257,30,25358
261,45,30,25358
262,76,30,25358
263,32,30,25358
264,54,30,25358
265,68,30,25358
266,247,30,25358
267,41,30,25358
268,270,30,25358
269,58,30,25358
270,44,30,25358
271,51,30,25358
272,38,30,25358
273,44,30,25358
274,51,30,25358
275,39,30,25358
276,52,30,25358
277,45,30,25358
278,59,30,25358
279,26,30,25358
280,40,30,25358
281,57,30,25358
282,37,30,25358
283,42,30,25358
284,47,30,25358
285,41,30,25358
286,29,30,25358
287,69,30,25358
288,37,30,25358
289,222,30,25358
290,33,30,25358
291,34,30,25358
292,47,30,25358
293,28,30,25358
294,27,30,25358
295,230,30,25358
296,227,30,25358
297,31,30,25358
298,36,30,25358
299,46,30,25358
300,48,30,25358
301,47,30,25358
302,61,30,25358
303,118,30,25358
304,74,30,25358
305,32,30,25358
306,35,30,25358
307,21,30,25358
308,28,30,25358
309,24,30,25358
310,38,30,25358
311,55,30,25358
312,32,30,25358
313,31,30,25358
314,29,30,25358
315,24,30,25358
316,23,30,25358
317,80,30,25358
318,90,30,25358
319,60,30,25358
320,31,30,25358
321,31,30,25358
322,33,30,25358
323,35,30,25358
324,30,30,25358
325,27,30,25358
326,39,30,25358
327,48,30,25358
328,68,30,25358
329,72,30,25358
330,29,30,25358
331,93,30,25358
332,47,30,25358
333,29,10,25358
